,,,,,Profit,Quantity,Region,Row.ID,Sales,Segment,Ship.Date,Ship.Mode,Shipping.Cost,State,Sub.Category,Year,Market2,weeknum
,,,,,5.6644,2,West,40935,12,Consumer,00:00.0,Second Class,1.71,California,Paper,2014,North America,46
,,,,,21.7728,7,West,34853,45,Consumer,00:00.0,Standard Class,3.56,California,Paper,2014,North America,49
,,,,,6.2208,2,West,34184,13,Consumer,00:00.0,First Class,0.94,California,Paper,2014,North America,51
,,,,,15.552,5,West,34185,32,Consumer,00:00.0,First Class,1.09,California,Paper,2014,North America,51
,,,,,6.2208,2,West,39800,13,Home Office,00:00.0,Standard Class,1.14,California,Paper,2011,North America,9
,,,,,26.6304,1,West,37315,55,Corporate,00:00.0,Standard Class,2.28,California,Paper,2011,North America,15
,,,,,9.3312,3,West,37314,19,Corporate,00:00.0,Standard Class,2.11,California,Paper,2011,North America,15
,,,,,3.84,2,West,36652,8,Corporate,00:00.0,Standard Class,0.15,California,Paper,2011,North America,20
,,,,,3.1752,1,West,34943,6,Home Office,00:00.0,Second Class,0.79,California,Paper,2011,North America,31
,,,,,12.4416,4,West,37242,26,Corporate,00:00.0,Standard Class,3.11,California,Paper,2011,North America,35
,,,,,30.4278,13,West,33359,65,Corporate,00:00.0,Standard Class,6.72,California,Paper,2011,North America,45
,,,,,9.63,5,West,37193,21,Home Office,00:00.0,Standard Class,0.92,California,Paper,2011,North America,45
,,,,,55.764,4,West,37260,124,Home Office,00:00.0,Second Class,27.69,California,Paper,2011,North America,46
,,,,,5.8604,2,West,35831,12,Corporate,00:00.0,Standard Class,1.2,California,Paper,2012,North America,12
,,,,,92.5056,11,West,40176,193,Corporate,00:00.0,First Class,27.31,California,Paper,2012,North America,12
,,,,,16.68,4,West,39263,33,Corporate,00:00.0,Standard Class,2.16,California,Paper,2012,North America,12
,,,,,27.882,2,West,36017,62,Home Office,00:00.0,Second Class,8.38,California,Paper,2012,North America,16
,,,,,5.3214,2,West,40347,11,Corporate,00:00.0,Standard Class,1,California,Paper,2012,North America,20
,,,,,5.7624,2,West,40861,12,Home Office,00:00.0,Standard Class,0.82,California,Paper,2012,North America,22
,,,,,15.552,5,West,32312,32,Home Office,00:00.0,Second Class,7.02,California,Paper,2012,North America,38
,,,,,11.2504,2,West,37465,23,Corporate,00:00.0,Second Class,3.62,California,Paper,2012,North America,38
,,,,,7.065,5,West,33985,16,Corporate,00:00.0,First Class,3.41,California,Paper,2012,North America,46
,,,,,53.4954,3,West,35635,114,Home Office,00:00.0,Standard Class,9.19,California,Paper,2012,North America,48
,,,,,3.1104,1,West,41250,6,Corporate,00:00.0,Second Class,1.31,California,Paper,2012,North America,50
,,,,,4.8804,2,West,39150,10,Home Office,00:00.0,Standard Class,0.22,California,Paper,2012,North America,52
,,,,,27.783,5,West,36296,57,Home Office,00:00.0,Standard Class,4.73,California,Paper,2013,North America,5
,,,,,48.5392,4,West,39700,106,Corporate,00:00.0,Standard Class,8.11,California,Paper,2013,North America,5
,,,,,73.41,3,West,32017,147,Home Office,00:00.0,Standard Class,8.08,California,Paper,2013,North America,7
,,,,,7.152,5,West,37310,15,Home Office,00:00.0,First Class,2.67,California,Paper,2013,North America,11
,,,,,14.418,4,West,38143,32,Corporate,00:00.0,Standard Class,1.48,California,Paper,2013,North America,19
,,,,,18.6624,6,West,38363,39,Home Office,00:00.0,Standard Class,2.81,California,Paper,2013,North America,22
,,,,,46.953,5,West,40417,100,Home Office,00:00.0,Standard Class,4.9,California,Paper,2013,North America,23
,,,,,5.616,2,West,39985,12,Corporate,00:00.0,Same Day,2.73,California,Paper,2013,North America,26
,,,,,21.384,9,West,38167,48,Corporate,00:00.0,Standard Class,3.43,California,Paper,2013,North America,34
,,,,,6.2208,2,West,38166,13,Corporate,00:00.0,Standard Class,1.16,California,Paper,2013,North America,34
,,,,,3.1104,1,West,31388,6,Corporate,00:00.0,Standard Class,0.52,California,Paper,2013,North America,38
,,,,,20.85,5,West,33628,42,Corporate,00:00.0,Second Class,5.31,California,Paper,2013,North America,39
,,,,,18.6624,6,West,38071,39,Home Office,00:00.0,Standard Class,6.66,California,Paper,2013,North America,45
,,,,,15.552,5,West,40512,32,Corporate,00:00.0,Standard Class,1.97,California,Paper,2013,North America,47
,,,,,6.4128,2,West,41272,13,Home Office,00:00.0,Standard Class,0.8,California,Paper,2013,North America,49
,,,,,18.6624,6,West,32611,39,Corporate,00:00.0,Standard Class,5.02,California,Paper,2013,North America,51
,,,,,21.7728,7,West,33103,45,Corporate,00:00.0,First Class,1.33,California,Paper,2013,North America,52
,,,,,109.7208,4,West,32488,224,Home Office,00:00.0,Second Class,17.93,California,Paper,2014,North America,9
,,,,,11.3288,4,West,32489,23,Home Office,00:00.0,Second Class,2.6,California,Paper,2014,North America,9
,,,,,36.4044,3,West,36514,79,Corporate,00:00.0,Second Class,17.5,California,Paper,2014,North America,16
,,,,,18.0096,4,West,40107,38,Corporate,00:00.0,Standard Class,1.63,California,Paper,2014,North America,22
,,,,,5.382,2,West,37422,12,Corporate,00:00.0,Standard Class,1.4,California,Paper,2014,North America,23
,,,,,100.4255,5,West,35008,205,Corporate,00:00.0,First Class,35.32,California,Paper,2014,North America,42
,,,,,5.3214,2,West,33647,11,Corporate,00:00.0,Same Day,1.77,California,Paper,2014,North America,49
,,,,,5.7624,2,West,39687,12,Corporate,00:00.0,First Class,2.14,California,Paper,2014,North America,49
,,,,,6.4128,2,West,37848,13,Home Office,00:00.0,Second Class,1.23,California,Paper,2014,North America,51
,,,,,18.447,3,West,40135,71,Corporate,00:00.0,Second Class,8.74,California,Art,2011,North America,15
,,,,,3.5475,5,West,34831,11,Consumer,00:00.0,Standard Class,1.79,California,Art,2011,North America,17
,,,,,3.8048,4,West,34830,13,Consumer,00:00.0,Standard Class,0.6,California,Art,2011,North America,17
,,,,,6.206,5,West,38493,21,Home Office,00:00.0,Standard Class,3.37,California,Art,2011,North America,18
,,,,,30.2232,6,West,35707,108,Home Office,00:00.0,Standard Class,10.88,California,Art,2011,North America,19
,,,,,1.9656,4,West,31303,7,Consumer,00:00.0,Standard Class,0.49,California,Art,2011,North America,24
,,,,,4.7916,3,West,33152,15,Corporate,00:00.0,Standard Class,2.33,California,Art,2011,North America,25
,,,,,10.368,5,West,34444,32,Corporate,00:00.0,Second Class,1.53,California,Art,2011,North America,27
,,,,,6.4944,6,West,40780,20,Home Office,00:00.0,Standard Class,1.37,California,Art,2011,North America,30
,,,,,3.717,3,West,33364,12,Corporate,00:00.0,Standard Class,1.78,California,Art,2011,North America,45
,,,,,3.36,4,West,40525,7,Home Office,00:00.0,Same Day,1.6,California,Art,2011,North America,45
,,,,,7.9248,3,West,37075,30,Consumer,00:00.0,Standard Class,4.02,California,Art,2011,North America,46
,,,,,2.604,3,West,38919,7,Consumer,00:00.0,Standard Class,0.62,California,Art,2011,North America,48
,,,,,11.907,9,West,38865,26,Consumer,00:00.0,Standard Class,1.45,California,Art,2011,North America,50
,,,,,2.4192,3,West,38533,9,Consumer,00:00.0,First Class,0.71,California,Art,2011,North America,50
,,,,,12.298,2,West,34940,47,Consumer,00:00.0,Second Class,6.7,California,Art,2011,North America,52
,,,,,1.1564,1,West,34941,4,Consumer,00:00.0,Second Class,0.68,California,Art,2011,North America,52
,,,,,16.6764,3,West,37590,64,Consumer,00:00.0,Standard Class,7.61,California,Art,2012,North America,17
,,,,,5.24,2,West,35611,21,Consumer,00:00.0,Standard Class,1.56,California,Art,2012,North America,26
,,,,,3.36,4,West,32801,7,Home Office,00:00.0,Standard Class,0.33,California,Art,2012,North America,31
,,,,,5.4896,2,West,35055,12,Corporate,00:00.0,Standard Class,0.91,California,Art,2012,North America,38
,,,,,5.0596,7,West,32367,19,Home Office,00:00.0,Standard Class,1.07,California,Art,2012,North America,47
,,,,,6.615,5,West,33075,15,Consumer,00:00.0,Standard Class,0.76,California,Art,2012,North America,47
,,,,,15.764,2,West,37657,56,Home Office,00:00.0,Standard Class,4.99,California,Art,2012,North America,50
,,,,,53.261,5,West,40233,205,Consumer,00:00.0,Second Class,72.45,California,Art,2012,North America,51
,,,,,7.052,5,West,40235,16,Consumer,00:00.0,Second Class,2.73,California,Art,2012,North America,51
,,,,,10.3168,2,West,39909,40,Corporate,00:00.0,Second Class,3.91,California,Art,2013,North America,5
,,,,,1.5288,3,West,32902,5,Consumer,00:00.0,Second Class,0.41,California,Art,2013,North America,16
,,,,,21.228,5,West,32903,73,Consumer,00:00.0,Second Class,7.83,California,Art,2013,North America,16
,,,,,1.6704,2,West,40913,6,Corporate,00:00.0,Standard Class,0.52,California,Art,2013,North America,34
,,,,,3.7996,2,West,35880,8,Corporate,00:00.0,Second Class,2.99,California,Art,2013,North America,35
,,,,,5.2332,7,West,40532,19,Consumer,00:00.0,Standard Class,1.73,California,Art,2013,North America,36
,,,,,6.633,3,West,31386,20,Corporate,00:00.0,Standard Class,1.44,California,Art,2013,North America,38
,,,,,5.6994,3,West,41004,12,Consumer,00:00.0,Standard Class,0.09,California,Art,2013,North America,43
,,,,,3.969,5,West,36344,15,Consumer,00:00.0,Second Class,1.23,California,Art,2013,North America,46
,,,,,2.8536,3,West,37326,10,Consumer,00:00.0,First Class,2.71,California,Art,2013,North America,46
,,,,,10.4076,9,West,40947,37,Consumer,00:00.0,Standard Class,1.58,California,Art,2013,North America,48
,,,,,6.912,8,West,40501,23,Corporate,00:00.0,Standard Class,1.32,California,Art,2013,North America,49
,,,,,5.2332,7,West,41271,19,Home Office,00:00.0,Standard Class,1.6,California,Art,2013,North America,49
,,,,,15.1116,3,West,35892,54,Corporate,00:00.0,Standard Class,2.39,California,Art,2013,North America,52
,,,,,6.206,5,West,36364,21,Home Office,00:00.0,Standard Class,2,California,Art,2014,North America,3
,,,,,3.4668,3,West,35259,13,Home Office,00:00.0,First Class,0.83,California,Art,2014,North America,8
,,,,,2.7028,4,West,31716,9,Corporate,00:00.0,Standard Class,0.7,California,Art,2014,North America,10
,,,,,3.753,5,West,40310,14,Corporate,00:00.0,Standard Class,0.56,California,Art,2014,North America,12
,,,,,2.0672,2,West,38799,6,Consumer,00:00.0,Same Day,0.38,California,Art,2014,North America,14
,,,,,12.298,2,West,35935,47,Consumer,00:00.0,First Class,10.4,California,Art,2014,North America,18
,,,,,33.4584,4,West,35933,124,Consumer,00:00.0,First Class,18.3,California,Art,2014,North America,18
,,,,,5.6994,3,West,35934,12,Consumer,00:00.0,First Class,2.53,California,Art,2014,North America,18
,,,,,4.0098,2,West,36822,10,Corporate,00:00.0,Standard Class,0.21,California,Art,2014,North America,18
,,,,,15.4752,3,West,38690,60,Consumer,00:00.0,Standard Class,3.63,California,Art,2014,North America,18
,,,,,18.8328,7,West,38541,50,Consumer,00:00.0,First Class,5.26,California,Art,2014,North America,21
,,,,,4.756,5,West,33585,16,Consumer,00:00.0,First Class,1.49,California,Art,2014,North America,24
,,,,,1.7466,1,West,34169,4,Consumer,00:00.0,Standard Class,0.29,California,Art,2014,North America,25
,,,,,3.0368,2,West,36006,12,Consumer,00:00.0,First Class,2.05,California,Art,2014,North America,27
,,,,,1.9024,2,West,36875,7,Consumer,00:00.0,Second Class,0.2,California,Art,2014,North America,37
,,,,,6.0632,2,West,38018,23,Corporate,00:00.0,Standard Class,1.41,California,Art,2014,North America,38
,,,,,4.8546,3,West,38019,17,Corporate,00:00.0,Standard Class,0.88,California,Art,2014,North America,38
,,,,,25.792,5,West,38959,99,Consumer,00:00.0,First Class,4.52,California,Art,2014,North America,40
,,,,,1.5876,2,West,37238,6,Consumer,00:00.0,Second Class,0.81,California,Art,2014,North America,42
,,,,,1.7608,2,West,32527,6,Consumer,00:00.0,Standard Class,0.19,California,Art,2014,North America,45
,,,,,9.9296,8,West,41028,34,Consumer,00:00.0,Standard Class,1.02,California,Art,2014,North America,46
,,,,,5.04,6,West,33649,10,Corporate,00:00.0,Same Day,0.23,California,Art,2014,North America,49
,,,,,2.79,2,West,35587,11,Home Office,00:00.0,Second Class,1.5,California,Art,2014,North America,50
,,,,,1.7901,3,West,34183,7,Consumer,00:00.0,First Class,1.05,California,Art,2014,North America,51
,,,,,1.7052,2,West,31811,6,Consumer,00:00.0,Standard Class,0.66,California,Art,2014,North America,52
,,,,,1.7901,3,West,31810,7,Consumer,00:00.0,Standard Class,0.29,California,Art,2014,North America,52
,,,,,85.904,2,West,34851,330,Consumer,00:00.0,Second Class,34.62,California,Storage,2011,North America,13
,,,,,31.0184,2,West,38953,107,Home Office,00:00.0,Same Day,20.75,California,Appliances,2011,North America,16
,,,,,4.5008,4,West,34944,16,Home Office,00:00.0,Second Class,0.86,California,Supplies,2011,North America,31
,,,,,0,2,West,40184,276,Corporate,00:00.0,Second Class,32.27,California,Storage,2011,North America,31
,,,,,38.178,5,West,35143,141,Corporate,00:00.0,First Class,14.96,California,Storage,2011,North America,44
,,,,,14.4222,2,West,35141,481,Corporate,00:00.0,First Class,21.55,California,Supplies,2011,North America,44
,,,,,0.0628,2,West,35140,6,Corporate,00:00.0,First Class,1.41,California,Supplies,2011,North America,44
,,,,,2.0228,2,West,37259,8,Home Office,00:00.0,Second Class,0.92,California,Appliances,2011,North America,46
,,,,,5.3196,2,West,36316,20,Consumer,00:00.0,First Class,5.13,California,Supplies,2011,North America,47
,,,,,10.3473,3,West,40007,345,Corporate,00:00.0,First Class,89.84,California,Storage,2011,North America,47
,,,,,10.4832,3,West,32868,22,Consumer,00:00.0,First Class,2.9,California,Envelopes,2011,North America,48
,,,,,72.5754,6,West,39011,250,Consumer,00:00.0,First Class,36.78,California,Appliances,2011,North America,50
,,,,,327.9458,7,West,38362,1261,Corporate,00:00.0,First Class,506.49,California,Storage,2011,North America,50
,,,,,8.7945,5,West,40090,23,Corporate,00:00.0,First Class,2.33,California,Fasteners,2011,North America,52
,,,,,6.8714,2,West,40089,15,Corporate,00:00.0,First Class,1.2,California,Labels,2011,North America,52
,,,,,5.4332,4,West,32473,12,Home Office,00:00.0,Second Class,1.06,California,Labels,2011,North America,53
,,,,,157.0176,6,West,33547,541,Consumer,00:00.0,Second Class,43.71,California,Appliances,2012,North America,7
,,,,,9.4717,7,West,36016,947,Home Office,00:00.0,Second Class,36.83,California,Storage,2012,North America,16
,,,,,2.528,2,West,34083,8,Home Office,00:00.0,First Class,1.9,California,Fasteners,2012,North America,38
,,,,,16.5888,3,West,40339,61,Corporate,00:00.0,Second Class,15.69,California,Appliances,2012,North America,38
,,,,,75.6952,14,West,35199,270,Home Office,00:00.0,Second Class,29.13,California,Storage,2012,North America,40
,,,,,3.894,2,West,34701,78,Consumer,00:00.0,Same Day,18.46,California,Storage,2012,North America,42
,,,,,10.089,3,West,36104,34,Consumer,00:00.0,Second Class,6.73,California,Storage,2012,North America,47
,,,,,122.148,3,West,35857,271,Corporate,00:00.0,Second Class,34.62,California,Envelopes,2012,North America,49
,,,,,0.5152,7,West,39299,26,Consumer,00:00.0,First Class,4.91,California,Supplies,2012,North America,50
,,,,,4.5816,2,West,33114,10,Consumer,00:00.0,Second Class,0.87,California,Labels,2012,North America,50
,,,,,28.615,2,West,34370,114,Consumer,00:00.0,First Class,14.24,California,Storage,2013,North America,1
,,,,,8.983,5,West,34287,449,Corporate,00:00.0,Second Class,54.23,California,Storage,2013,North America,8
,,,,,0.8792,4,West,38454,88,Consumer,00:00.0,Second Class,23.69,California,Storage,2013,North America,13
,,,,,13.3056,9,West,40907,28,Consumer,00:00.0,Second Class,2,California,Labels,2013,North America,20
,,,,,6.8714,2,West,31299,15,Corporate,00:00.0,Second Class,1.47,California,Labels,2013,North America,24
,,,,,10.8,6,West,37913,23,Consumer,00:00.0,First Class,3.7,California,Labels,2013,North America,25
,,,,,8.95,5,West,39984,18,Corporate,00:00.0,Same Day,4.89,California,Fasteners,2013,North America,26
,,,,,11.586,2,West,39983,232,Corporate,00:00.0,Same Day,43.08,California,Supplies,2013,North America,26
,,,,,0.0792,2,West,34862,4,Consumer,00:00.0,First Class,0.66,California,Fasteners,2013,North America,27
,,,,,10.74,6,West,33452,21,Consumer,00:00.0,Second Class,4.35,California,Fasteners,2013,North America,30
,,,,,2.9372,2,West,33627,42,Corporate,00:00.0,Second Class,2.92,California,Storage,2013,North America,39
,,,,,429.5772,4,West,33773,1101,Consumer,00:00.0,First Class,364.76,California,Appliances,2013,North America,45
,,,,,41.2237,7,West,33772,88,Consumer,00:00.0,First Class,11.56,California,Labels,2013,North America,45
,,,,,6.8714,2,West,32142,15,Corporate,00:00.0,First Class,1.92,California,Labels,2013,North America,45
,,,,,3.2944,2,West,32141,11,Corporate,00:00.0,First Class,1.38,California,Supplies,2013,North America,45
,,,,,38.976,4,West,36339,130,Consumer,00:00.0,Second Class,16.65,California,Appliances,2013,North America,46
,,,,,187.3976,4,West,36342,721,Consumer,00:00.0,Second Class,105.59,California,Storage,2013,North America,46
,,,,,125.1432,4,West,37056,481,Home Office,00:00.0,Same Day,56.65,California,Storage,2013,North America,53
,,,,,4.8118,2,West,36686,10,Corporate,00:00.0,Second Class,2.16,California,Labels,2014,North America,8
,,,,,22.1184,4,West,32485,82,Home Office,00:00.0,Second Class,9.84,California,Appliances,2014,North America,9
,,,,,26.3494,7,West,40418,91,Corporate,00:00.0,Second Class,6.89,California,Appliances,2014,North America,12
,,,,,210.4936,4,West,36642,726,Consumer,00:00.0,Second Class,58.05,California,Storage,2014,North America,12
,,,,,45.8064,8,West,34929,763,Corporate,00:00.0,Second Class,50.46,California,Storage,2014,North America,19
,,,,,19.4656,2,West,34928,70,Corporate,00:00.0,Second Class,4.22,California,Storage,2014,North America,19
,,,,,14.8,2,West,31781,30,Home Office,00:00.0,First Class,3.12,California,Labels,2014,North America,24
,,,,,16.5888,3,West,39638,61,Consumer,00:00.0,First Class,8.47,California,Appliances,2014,North America,24
,,,,,39.213,3,West,36005,131,Consumer,00:00.0,First Class,34.83,California,Storage,2014,North America,27
,,,,,23.9688,3,West,38384,100,Consumer,00:00.0,Second Class,3.05,California,Storage,2014,North America,32
,,,,,11.206,5,West,41143,43,Home Office,00:00.0,Second Class,3.94,California,Appliances,2014,North America,36
,,,,,26.082,9,West,37518,57,Consumer,00:00.0,Second Class,2.1,California,Labels,2014,North America,38
,,,,,3.8775,1,West,38634,16,Corporate,00:00.0,First Class,4.31,California,Storage,2014,North America,39
,,,,,22.2516,3,West,33648,79,Corporate,00:00.0,Same Day,8.23,California,Appliances,2014,North America,49
,,,,,68.04,1,West,35589,189,Home Office,00:00.0,Second Class,14.17,California,Appliances,2014,North America,50
,,,,,7.945,5,West,37849,159,Home Office,00:00.0,Second Class,15.27,California,Storage,2014,North America,51
,,,,,3.6022,2,West,34832,12,Consumer,00:00.0,Standard Class,0.96,California,Fasteners,2011,North America,17
,,,,,5.796,2,West,38494,13,Home Office,00:00.0,Standard Class,1.8,California,Labels,2011,North America,18
,,,,,1.4112,1,West,39469,3,Home Office,00:00.0,Standard Class,0.47,California,Labels,2011,North America,28
,,,,,4.0664,4,West,39471,24,Home Office,00:00.0,Standard Class,1.7,California,Storage,2011,North America,28
,,,,,44.955,9,West,32517,250,Home Office,00:00.0,Standard Class,52.56,California,Storage,2011,North America,29
,,,,,13.1868,4,West,37243,49,Corporate,00:00.0,Standard Class,3.81,California,Storage,2011,North America,35
,,,,,2.8776,4,West,32439,9,Consumer,00:00.0,Standard Class,1.29,California,Fasteners,2011,North America,40
,,,,,16.7886,1,West,32442,62,Consumer,00:00.0,Standard Class,5.67,California,Storage,2011,North America,40
,,,,,5.2164,3,West,33356,11,Corporate,00:00.0,Standard Class,1.2,California,Fasteners,2011,North America,45
,,,,,20.878,5,West,33357,80,Corporate,00:00.0,Standard Class,15.67,California,Storage,2011,North America,45
,,,,,12.1692,4,West,33361,406,Corporate,00:00.0,Standard Class,18.82,California,Storage,2011,North America,45
,,,,,41.2237,7,West,39432,88,Consumer,00:00.0,Standard Class,9.83,California,Labels,2012,North America,7
,,,,,29.5776,2,West,36477,76,Corporate,00:00.0,Standard Class,8.99,California,Appliances,2012,North America,15
,,,,,9.8164,2,West,38252,21,Corporate,00:00.0,Standard Class,2.31,California,Envelopes,2012,North America,17
,,,,,55.896,4,West,37984,1118,Consumer,00:00.0,Standard Class,137.93,California,Storage,2012,North America,20
,,,,,3.7996,2,West,39398,8,Consumer,00:00.0,Standard Class,0.8,California,Labels,2012,North America,21
,,,,,29.3412,7,West,39400,105,Consumer,00:00.0,Standard Class,13.18,California,Storage,2012,North America,21
,,,,,1.5456,4,West,31877,52,Consumer,00:00.0,Standard Class,7.75,California,Supplies,2012,North America,37
